Id,ActivityDay,Calories
4445114986,4/23/2016,2149
2873212765,4/16/2016,2148
1644430081,4/21/2016,2140
4319703577,4/13/2016,2135
2347167796,4/15/2016,2133
8253242879,4/23/2016,2132
4558609924,5/11/2016,2131
1844505072,4/14/2016,2130
6775888955,4/15/2016,2127
2320127002,4/12/2016,2124
3372868164,4/21/2016,2124
4445114986,5/7/2016,2123
4558609924,4/15/2016,2121
4445114986,5/5/2016,2120
4558609924,4/17/2016,2117
4558609924,4/18/2016,2116
5553957443,5/3/2016,2116
4319703577,4/12/2016,2115
4445114986,4/12/2016,2113
8253242879,4/17/2016,2112
1927972279,4/18/2016,2111
4558609924,4/30/2016,2105
5553957443,4/22/2016,2105
6962181067,5/9/2016,2105
1927972279,4/25/2016,2100
4558609924,4/27/2016,2098
7007744171,4/15/2016,2098
2873212765,5/8/2016,2096
2347167796,4/25/2016,2095
3372868164,4/27/2016,2095
4445114986,4/13/2016,2095
2873212765,4/20/2016,2094
4558609924,4/22/2016,2094
1927972279,4/22/2016,2093
3372868164,4/13/2016,2093
5553957443,4/26/2016,2093
4319703577,4/30/2016,2092
6962181067,4/22/2016,2086
6962181067,5/4/2016,2086
4558609924,4/23/2016,2085
7007744171,4/16/2016,2076
6962181067,5/3/2016,2072
4445114986,4/25/2016,2070
4445114986,5/4/2016,2070
2022484408,4/23/2016,2069
6775888955,4/17/2016,2067
8792009665,4/27/2016,2067
8792009665,5/4/2016,2067
4558609924,5/2/2016,2066
5553957443,4/21/2016,2066
6962181067,5/5/2016,2066
3372868164,4/14/2016,2065
1927972279,4/16/2016,2064
1927972279,4/21/2016,2064
1927972279,4/30/2016,2064
1927972279,4/17/2016,2063
1927972279,4/19/2016,2063
1927972279,4/20/2016,2063
1927972279,4/27/2016,2063
1927972279,4/29/2016,2063
1927972279,5/5/2016,2063
1927972279,5/8/2016,2063
1927972279,5/9/2016,2063
1927972279,5/10/2016,2063
1927972279,5/11/2016,2063
2873212765,4/15/2016,2063
1844505072,4/21/2016,2062
6290855005,4/21/2016,2060
6290855005,4/26/2016,2060
6290855005,4/29/2016,2060
3372868164,4/26/2016,2057
6775888955,4/24/2016,2053
7007744171,4/30/2016,2051
7086361926,4/24/2016,2049
2347167796,4/21/2016,2048
6962181067,4/19/2016,2046
3372868164,4/29/2016,2044
6117666160,5/2/2016,2044
8253242879,4/12/2016,2044
8792009665,4/12/2016,2044
6962181067,4/18/2016,2039
2347167796,4/13/2016,2038
1503960366,4/19/2016,2035
6962181067,4/27/2016,2034
5553957443,4/25/2016,2033
1844505072,4/12/2016,2030
6962181067,4/17/2016,2027
5553957443,4/12/2016,2026
2873212765,4/23/2016,2021
6117666160,4/18/2016,2018
4702921684,5/1/2016,2017
2873212765,5/4/2016,2015
8792009665,5/2/2016,2015
3372868164,4/18/2016,2014
1503960366,4/25/2016,2013
6962181067,4/26/2016,2012
4020332650,4/14/2016,2011
2347167796,4/14/2016,2010
3372868164,4/25/2016,2010
8792009665,4/15/2016,2009
8253242879,4/27/2016,2008
1503960366,5/2/2016,2004
2873212765,4/13/2016,2004
2320127002,4/13/2016,2003
6962181067,4/30/2016,2002
5553957443,4/28/2016,1999
4558609924,4/16/2016,1997
5553957443,5/2/2016,1996
2022484408,5/7/2016,1995
3372868164,4/23/2016,1995
4020332650,4/18/2016,1995
6962181067,4/12/2016,1994
6775888955,4/28/2016,1993
1844505072,4/28/2016,1992
1503960366,5/3/2016,1990
4020332650,4/17/2016,1990
8053475328,5/2/2016,1988
1503960366,4/12/2016,1985
3372868164,4/19/2016,1985
4319703577,4/15/2016,1985
2873212765,4/12/2016,1982
4020332650,4/13/2016,1981
4020332650,4/19/2016,1980
4020332650,4/20/2016,1980
4020332650,4/21/2016,1980
4020332650,4/22/2016,1980
4020332650,4/23/2016,1980
4020332650,4/24/2016,1980
4020332650,4/25/2016,1980
4020332650,4/26/2016,1980
4020332650,4/27/2016,1980
4020332650,4/28/2016,1980
4020332650,4/29/2016,1980
4020332650,4/30/2016,1980
4020332650,5/1/2016,1980
8253242879,4/24/2016,1976
8378563200,5/12/2016,1976
4445114986,4/20/2016,1974
4558609924,5/7/2016,1973
2320127002,5/7/2016,1972
3372868164,4/28/2016,1972
2873212765,5/5/2016,1971
1503960366,4/26/2016,1970
2873212765,4/21/2016,1970
2873212765,4/27/2016,1966
7086361926,4/23/2016,1965
3372868164,4/17/2016,1964
8792009665,4/14/2016,1963
2873212765,5/10/2016,1962
8792009665,5/1/2016,1962
1503960366,5/5/2016,1959
2873212765,4/19/2016,1956
4445114986,4/19/2016,1954
4558609924,5/3/2016,1953
1503960366,4/23/2016,1949
1503960366,4/30/2016,1947
6962181067,5/7/2016,1947
2347167796,4/22/2016,1946
3372868164,4/30/2016,1946
4319703577,4/23/2016,1945
2347167796,4/18/2016,1944
8253242879,4/13/2016,1935
8792009665,4/13/2016,1934
4445114986,4/17/2016,1933
8253242879,4/20/2016,1931
8792009665,4/26/2016,1928
2026352035,5/5/2016,1926
2320127002,4/20/2016,1922
4558609924,4/14/2016,1922
5553957443,4/27/2016,1922
6775888955,4/22/2016,1922
1503960366,4/18/2016,1921
3372868164,4/24/2016,1921
4558609924,4/29/2016,1918
2026352035,4/23/2016,1916
5553957443,5/6/2016,1916
2873212765,5/6/2016,1910
4558609924,4/12/2016,1909
8253242879,4/25/2016,1909
3372868164,4/15/2016,1908
3372868164,4/16/2016,1908
2873212765,4/25/2016,1907
2873212765,5/3/2016,1906
2873212765,5/9/2016,1906
2320127002,4/18/2016,1905
2320127002,5/11/2016,1903
6117666160,5/4/2016,1902
2320127002,5/10/2016,1899
1503960366,4/28/2016,1898
2873212765,4/24/2016,1898
2873212765,5/7/2016,1897
1503960366,5/6/2016,1896
2873212765,4/14/2016,1893
2873212765,4/18/2016,1890
4558609924,5/10/2016,1889
4319703577,4/22/2016,1886
8053475328,5/1/2016,1886
4319703577,4/16/2016,1884
2347167796,4/17/2016,1882
2873212765,4/26/2016,1882
4319703577,4/24/2016,1880
8253242879,4/16/2016,1880
6117666160,4/28/2016,1879
2320127002,5/3/2016,1878
2873212765,5/2/2016,1878
4558609924,4/19/2016,1876
2026352035,5/9/2016,1869
3372868164,4/20/2016,1867
1503960366,4/16/2016,1863
2347167796,4/26/2016,1861
1844505072,4/13/2016,1860
1503960366,5/10/2016,1859
1844505072,4/29/2016,1856
6962181067,5/11/2016,1855
2347167796,4/28/2016,1854
8253242879,4/29/2016,1854
2022484408,5/12/2016,1853
2320127002,4/17/2016,1852
2320127002,4/22/2016,1851
6962181067,5/6/2016,1850
8877689391,5/12/2016,1849
2022484408,5/8/2016,1848
6775888955,5/3/2016,1843
4558609924,5/4/2016,1842
6775888955,4/12/2016,1841
6775888955,4/19/2016,1841
6775888955,4/21/2016,1841
6775888955,4/23/2016,1841
6775888955,4/27/2016,1841
6775888955,4/29/2016,1841
6775888955,5/2/2016,1841
6775888955,5/4/2016,1841
6775888955,5/5/2016,1841
6117666160,5/6/2016,1838
1503960366,4/29/2016,1837
2873212765,4/28/2016,1835
5553957443,4/16/2016,1831
2873212765,4/30/2016,1830
8253242879,4/18/2016,1829
1503960366,4/22/2016,1827
1844505072,4/22/2016,1827
2873212765,5/11/2016,1826
1503960366,5/7/2016,1821
2320127002,5/8/2016,1821
1503960366,5/1/2016,1820
1503960366,5/4/2016,1819
1503960366,5/9/2016,1819
5577150313,5/7/2016,1819
5577150313,5/8/2016,1819
1844505072,4/18/2016,1814
8253242879,4/26/2016,1813
2320127002,4/19/2016,1811
2320127002,4/23/2016,1804
2320127002,4/15/2016,1801
8792009665,4/24/2016,1799
1503960366,4/13/2016,1797
1844505072,4/17/2016,1793
4319703577,4/21/2016,1792
4319703577,5/8/2016,1792
1503960366,4/24/2016,1788
3372868164,4/12/2016,1788
4558609924,4/20/2016,1788
1503960366,4/20/2016,1786
1503960366,5/11/2016,1783
2320127002,5/5/2016,1780
2873212765,4/29/2016,1780
2320127002,4/30/2016,1779
1503960366,4/14/2016,1776
4057192912,4/14/2016,1776
5553957443,4/23/2016,1776
1503960366,4/21/2016,1775
1844505072,4/30/2016,1763
8253242879,4/19/2016,1763
5553957443,5/8/2016,1762
3977333714,5/2/2016,1760
6962181067,4/15/2016,1756
5553957443,5/1/2016,1747
1503960366,4/15/2016,1745
1844505072,5/3/2016,1742
2320127002,5/6/2016,1742
1503960366,5/8/2016,1740
6962181067,5/1/2016,1740
2873212765,5/1/2016,1739
2026352035,5/6/2016,1736
1503960366,4/17/2016,1728
1844505072,4/15/2016,1725
2320127002,4/24/2016,1725
2320127002,4/16/2016,1724
4558609924,4/13/2016,1722
4558609924,5/6/2016,1722
8792009665,4/16/2016,1721
8792009665,4/21/2016,1720
5553957443,4/13/2016,1718
6962181067,4/13/2016,1718
3977333714,5/3/2016,1710
6962181067,4/24/2016,1705
8253242879,4/14/2016,1705
2026352035,5/11/2016,1698
5553957443,5/4/2016,1698
2320127002,4/14/2016,1696
5553957443,5/11/2016,1693
2026352035,4/29/2016,1692
4558609924,5/1/2016,1692
2026352035,5/2/2016,1690
8792009665,4/17/2016,1688
8792009665,4/18/2016,1688
8792009665,4/19/2016,1688
8792009665,4/25/2016,1688
8792009665,5/5/2016,1688
8792009665,5/6/2016,1688
8792009665,5/7/2016,1688
8792009665,5/8/2016,1688
8792009665,5/9/2016,1688
5553957443,4/18/2016,1683
1624580081,4/27/2016,1670
3372868164,4/22/2016,1669
2026352035,4/20/2016,1667
3977333714,5/9/2016,1667
5577150313,5/11/2016,1665
6962181067,5/8/2016,1659
2026352035,5/4/2016,1658
1844505072,4/16/2016,1657
1624580081,4/30/2016,1655
3977333714,4/24/2016,1655
2320127002,4/25/2016,1654
8253242879,4/22/2016,1651
3977333714,4/30/2016,1650
2026352035,4/28/2016,1649
1844505072,4/23/2016,1645
3977333714,4/19/2016,1638
3977333714,4/23/2016,1638
7086361926,4/16/2016,1635
3977333714,5/8/2016,1633
2320127002,4/26/2016,1632
4319703577,4/18/2016,1632
8253242879,4/15/2016,1632
2320127002,5/9/2016,1630
3977333714,5/10/2016,1630
7086361926,4/17/2016,1629
3977333714,5/4/2016,1628
3977333714,4/16/2016,1625
4388161847,5/12/2016,1623
3977333714,5/5/2016,1618
1624580081,4/24/2016,1617
2320127002,5/2/2016,1613
2320127002,4/21/2016,1610
1624580081,4/18/2016,1604
2026352035,5/3/2016,1604
2026352035,4/26/2016,1595
2026352035,4/27/2016,1593
4319703577,5/1/2016,1593
3977333714,5/6/2016,1590
1844505072,5/5/2016,1589
3977333714,4/18/2016,1584
8253242879,4/28/2016,1580
2026352035,4/25/2016,1576
3977333714,5/7/2016,1574
1624580081,4/14/2016,1572
3977333714,4/25/2016,1570
5553957443,4/20/2016,1570
1624580081,4/23/2016,1562
7007744171,5/4/2016,1557
2026352035,5/8/2016,1555
1624580081,4/17/2016,1554
3977333714,4/20/2016,1554
3977333714,4/26/2016,1551
1844505072,5/4/2016,1549
3977333714,4/29/2016,1545
1844505072,5/1/2016,1541
2873212765,4/17/2016,1529
3977333714,4/17/2016,1529
4057192912,4/15/2016,1527
2026352035,4/13/2016,1521
5553957443,4/24/2016,1507
2026352035,4/30/2016,1506
8053475328,5/12/2016,1505
3977333714,5/1/2016,1501
1624580081,5/2/2016,1497
6117666160,4/25/2016,1497
6117666160,4/12/2016,1496
6117666160,4/13/2016,1496
6117666160,4/14/2016,1496
6117666160,5/3/2016,1496
3977333714,4/13/2016,1495
5553957443,5/7/2016,1494
1624580081,4/25/2016,1492
2026352035,5/7/2016,1491
2320127002,4/27/2016,1481
3977333714,4/22/2016,1481
1624580081,5/7/2016,1474
2320127002,4/28/2016,1473
1624580081,4/22/2016,1470
3977333714,4/15/2016,1468
1624580081,4/21/2016,1467
6962181067,4/14/2016,1466
4319703577,4/17/2016,1464
1624580081,4/16/2016,1463
5553957443,4/30/2016,1463
2026352035,4/12/2016,1459
4558609924,5/12/2016,1452
3977333714,4/12/2016,1450
2026352035,5/1/2016,1447
1624580081,4/20/2016,1446
2026352035,4/15/2016,1444
1624580081,4/19/2016,1435
3977333714,4/14/2016,1433
1624580081,4/12/2016,1432
2026352035,4/14/2016,1431
2873212765,5/12/2016,1431
1624580081,5/8/2016,1427
2320127002,5/4/2016,1426
2026352035,4/18/2016,1419
1624580081,4/13/2016,1411
2320127002,4/29/2016,1410
3977333714,4/28/2016,1407
1624580081,4/29/2016,1404
2320127002,5/1/2016,1403
1624580081,4/26/2016,1402
1624580081,4/28/2016,1401
2026352035,4/24/2016,1401
2026352035,4/22/2016,1399
3977333714,4/21/2016,1397
5553957443,4/17/2016,1397
1624580081,5/10/2016,1393
1927972279,5/12/2016,1383
3977333714,4/27/2016,1377
2026352035,4/16/2016,1373
1624580081,5/5/2016,1370
2026352035,4/21/2016,1370
1624580081,5/4/2016,1368
1844505072,4/19/2016,1366
2026352035,5/12/2016,1364
1624580081,5/11/2016,1359
2026352035,4/19/2016,1356
1844505072,5/6/2016,1351
1844505072,4/20/2016,1349
1844505072,4/27/2016,1348
1844505072,5/2/2016,1348
1844505072,4/24/2016,1347
1844505072,4/25/2016,1347
1844505072,4/26/2016,1347
1844505072,5/7/2016,1347
1844505072,5/8/2016,1347
1844505072,5/9/2016,1347
1844505072,5/10/2016,1347
1844505072,5/11/2016,1347
1624580081,4/15/2016,1344
1624580081,5/6/2016,1341
1624580081,5/3/2016,1334
1624580081,5/9/2016,1328
1644430081,5/11/2016,1276
6117666160,5/9/2016,1248
4702921684,5/12/2016,1240
3372868164,5/1/2016,1237
2026352035,4/17/2016,1214
4445114986,5/12/2016,1212
7086361926,5/12/2016,1199
2026352035,5/10/2016,1141
2320127002,5/12/2016,1125
4020332650,5/12/2016,1120
6775888955,5/7/2016,1032
1624580081,5/12/2016,1002
6962181067,5/12/2016,928
5553957443,5/12/2016,741
1844505072,5/12/2016,665
2347167796,4/29/2016,403
4319703577,5/12/2016,257
7007744171,5/7/2016,120